"","heart_rate","steering","steeringVelocity","turningCurvature","speedInMetresPerSecond","prev_steering_vel","delta_steering_vel","danger"
"404",100,0.00068423745688051,-0.00225519179366529,-2.7439638870419e-05,23.3417263031006,-0.00225519179366529,0,FALSE
"405",100,0.00068423745688051,-7.40205287002027e-05,-2.53599737334298e-05,23.3611850738525,-0.00225519179366529,0.00218117126496509,FALSE
"406",100,0.00068423745688051,-7.40205287002027e-05,-2.53114849328995e-05,23.3802051544189,-7.40205287002027e-05,0,FALSE
"407",100,0.00067686487454921,-7.36931397113949e-05,-2.13095554499887e-05,23.3999767303467,-7.40205287002027e-05,3.27388988807797e-07,FALSE
"408",100,0.000654858420602977,-0.000439942989032716,-1.92417719517834e-05,23.4193210601807,-7.36931397113949e-05,-0.000366249849321321,FALSE
"409",100,0.000597011006902903,-0.00115551240742207,-1.53830769704655e-05,23.4386367797852,-0.000439942989032716,-0.000715569418389354,FALSE
"410",100,0.000540430133696645,-0.00115551240742207,-1.53613200382097e-05,23.457914352417,-0.00115551240742207,0,FALSE
"411",100,0.000478377914987504,-0.00118693034164608,-1.53399032569723e-05,23.4771595001221,-0.00115551240742207,-3.14179342240099e-05,FALSE
"412",100,0.000458089081803337,-0.00118693034164608,-8.6116178863449e-06,23.4963665008545,-0.00118693034164608,0,FALSE
"413",100,0.000458089081803337,-0.000203047326067463,-9.58789951255312e-06,23.5155448913574,-0.00118693034164608,0.000983883015578617,FALSE
"414",100,0.000458089081803337,0,-1.04758973975549e-05,23.5346794128418,-0.000203047326067463,0.000203047326067463,FALSE
"415",100,0.000512636150233448,0,-1.61884909175569e-05,23.5537853240967,0,0,FALSE
"416",100,0.000633021292742342,0.00175408984068781,-1.61548086907715e-05,23.5728569030762,0,0.00175408984068781,FALSE
"417",100,0.000804629875347018,0.00342815252952278,-1.99941987375496e-05,23.5918941497803,0.00175408984068781,0.00167406268883497,FALSE
"418",100,0.000993210356682539,0.00342815252952278,-2.56096373050241e-05,23.610897064209,0.00342815252952278,0,FALSE
"419",100,0.00115702848415822,0.003530916525051,-2.93005141429603e-05,23.6294822692871,0.00342815252952278,0.00010276399552822,FALSE
"420",100,0.00125800876412541,0.003530916525051,-2.72534307441674e-05,23.6484222412109,0.003530916525051,0,FALSE
"421",100,0.00128355505876243,0.00126510090194643,-2.82516648439923e-05,23.66770362854,0.003530916525051,-0.00226581562310457,FALSE
"422",100,0.00128355505876243,0.00126510090194643,-3.2068735890789e-05,23.686185836792,0.00126510090194643,0,FALSE
"423",100,0.00135225139092654,0.000686229090206325,-3.20149556500837e-05,23.7053813934326,0.00126510090194643,-0.000578871811740105,FALSE
"424",100,0.00156314589548856,0.000686229090206325,-4.71043604193255e-05,23.724142074585,0.000686229090206325,0,FALSE
"425",100,0.00190141575876623,0.00548712210729718,-6.01608298893552e-05,23.7428112030029,0.000686229090206325,0.00480089301709086,FALSE
"426",100,0.00234209117479622,0.00548712210729718,-6.27115950919688e-05,23.7613544464111,0.00548712210729718,0,FALSE
"427",100,0.00270108296535909,0.00799326784908772,-7.47612066334113e-05,23.7797203063965,0.00548712210729718,0.00250614574179054,FALSE
"428",100,0.00294678448699415,0.00491396570578218,-8.58764396980405e-05,23.7978229522705,0.00799326784908772,-0.00307930214330554,FALSE
"429",100,0.0030714578460902,0.00491396570578218,-8.57776612974703e-05,23.8155536651611,0.00491396570578218,0,FALSE
"430",100,0.00310281151905656,0.00156311423052102,-8.76588528626598e-05,23.832799911499,0.00491396570578218,-0.00335085147526116,FALSE
